1;NO_PET_SCALING
2;FORCE_PARTY_MEMBERS_INTO_COMBAT
3;LOCK_TAPPERS_TO_RAID_ON_DEATH
4;SPELL_ATTACKABLE
5;NO_CRUSHING_BLOWS
6;NO_OWNER_THREAT
7;NO_WOUNDED_SLOWDOWN
8;USE_CREATOR_BONUSES
9;IGNORE_FEIGN_DEATH
10;IGNORE_SANCTUARY
11;ACTION_TRIGGERS_WHILE_CHARMED
12;INTERACT_WHILE_DEAD
13;NO_INTERRUPT_SCHOOL_COOLDOWN
14;RETURN_SOUL_SHARD_TO_MASTER_OF_PET
15;SKIN_WITH_HERBALISM
16;SKIN_WITH_MINING
17;ALERT_CONTENT_TEAM_ON_DEATH
18;ALERT_CONTENT_TEAM_AT_90_PCT_HP
19;ALLOW_MOUNTED_COMBAT
20;PVP_ENABLING_OOC
21;NO_DEATH_MESSAGE
22;IGNORE_PATHING_FAILURE
23;FULL_SPELL_LIST
24;DOES_NOT_REDUCE_REPUTATION_FOR_RAIDS
25;IGNORE_MISDIRECTION
26;HIDE_BODY
27;SPAWN_DEFENSIVE
28;SERVER_ONLY
29;CAN_SAFE_FALL
30;CAN_ASSIST
31;NO_SKILL_GAINS
32;NO_PET_BAR
