0;NO_PICKUP
1;CONJURED
2;HAS_LOOT
3;HEROIC_TOOLTIP
4;DEPRECATED Cannot equip or use
5;NO_USER_DESTROY
6;PLAYERCAST
7;NO_EQUIP_COOLDOWN
8;MULTI_LOOT_QUEST
9;IS_WRAPPER Item can wrap other items
10;USES_RESOURCES
11;MULTI_DROP Looting this item does not remove it from available loot
12;ITEM_PURCHASE_RECORD Item can be returned to vendor for its original cost (extended cost)
13;PETITION
14;HAS_TEXT Only readable items have this (but not all)
15;NO_DISENCHANT
16;REAL_DURATION
17;NO_CREATOR
18;IS_PROSPECTABLE
19;UNIQUE_EQUIPPABLE
20;IGNORE_FOR_AURAS
21;IGNORE_DEFAULT_ARENA_RESTRICTIONS
22;NO_DURABILITY_LOSS
23;USE_WHEN_SHAPESHIFTED
24;HAS_QUEST_GLOW
25;HIDE_UNUSABLE_RECIPE Profession recipes: can only be looted if you meet requirements and don't already know it
26;NOT_USEABLE_IN_ARENA
27;IS_BOUND_TO_ACCOUNT
28;NO_REAGENT_COST Spell is cast ignoring reagents
29;IS_MILLABLE
30;REPORT_TO_GUILD_CHAT
31;NO_PROGRESSIVE_LOOT
