0;SERVER_CONTROLLED
1;NON_ATTACKABLE
2;DISABLE_MOVE
3;PLAYER_CONTROLLED use _IMMUNE_TO_PC instead of _IMMUNE_TO_NPC
4;RENAME
5;PREPARATION
6;UNK_6 is needed to cast nontriggered spells in smart_scripts
7;NOT_ATTACKABLE_1 (+PVP_ATTACKABLE -> NON_PVP_ATTACKABLE)
8;IMMUNE_TO_PC (disables c/assist with PlayerCharacters)
9;IMMUNE_TO_NPC
10;LOOTING
11;PET_IN_COMBAT
12;PVP
13;SILENCED
14;CANNOT_SWIM
15;SWIMMING
16;NON_ATTACKABLE_2
17;PACIFIED
18;STUNNED
19;IN_COMBAT
20;TAXI_FLIGHT
21;DISARMED
22;CONFUSED
23;FLEEING (Feared)
24;POSSESSED Under direct client control by a player
25;NOT_SELECTABLE
26;SKINNABLE
27;MOUNT
28;UNK_28 PreventKneelingWhenLooting
29;PREVENT_EMOTES_FROM_CHAT_TEXT
30;SHEATHE
31;IMMUNE to damage
